name,total_reviews,avg_rating
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",845,4.66
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",797,4.6
Amazon - Echo Plus w/ Built-In Hub - Silver,590,4.75
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",561,4.58
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",467,4.51
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",371,4.46
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,225,4.51
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",217,4.52
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",159,4.58
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",106,4.67
"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",101,4.51
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",96,4.41
"Amazon - Kindle Voyage - 6"" - 4GB - Black",82,4.65
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",70,4.4
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",58,4.59
"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",53,4.51
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",51,4.65
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",40,4.68
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",39,4.82
"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",24,4.67
Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,22,4.82
Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,22,4.86
Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,4,5.0
